Metric,Value
Total Return,3.4639023508037603
Annualized Return,0.26184026206148214
Annualized Volatility,0.1944775043435412
Sharpe Ratio,1.140698832033576
Maximum Drawdown,-0.3142946878834523
Win Rate,0.5582973473164713
