Ticker,Momentum 3M,Momentum 6M,Momentum 12M,Annualized Return,Annualized Volatility,Max Drawdown,Sharpe Ratio,Sector,Market Cap,PE Ratio,PB Ratio,ROE,Profit Margin,Debt to Equity,Beta,Momentum Score,Value Score,Quality Score,Risk Score,Composite Score,Rank
V,0.11634875623030272,-0.035720478906731135,-0.055498957262741566,0.09806469797125206,0.26914030946434786,-0.363649343595701,0.21574136585788425,Financial Services,628298088448,28.82897,17.722347,0.60349,0.51679003,67.233,0.765,-0.539630583498612,0.055275130928774965,0.6992015940112432,0.532754307147121,0.13328086761484514,11.0
AMZN,0.17215421796068653,0.10541928382150734,0.13836183735303442,0.15949477631825126,0.3535866758975499,-0.5614526325328263,0.33795045023946074,Consumer Cyclical,2554813480960,30.56628,5.7795734,0.24285,0.12224,53.3,1.444,0.3403979792536209,0.4908001519840483,-0.3240423334996643,-0.7291294359252847,-0.002017038787874653,12.0
PEP,-0.038313526750134996,-0.014835814713678896,0.15596411341343375,0.0592817767898459,0.22080863519403554,-0.30322678132460124,0.08764588635228315,Consumer Defensive,280537993216,22.227629,9.058282,0.43879002,0.09149,244.837,0.359,-0.7284440282948865,0.6324116114376618,-1.0049674440088896,1.1383733645410652,-0.08399749372305984,13.0
MSFT,0.007383983783837422,-0.14955164455679276,-0.143801209375183,0.15961337998880043,0.29797351267968847,-0.3714848024021429,0.4014228610896056,Technology,2814708285440,22.581049,6.793302,0.34013999,0.39341998,30.271,1.103,-1.3799880499134092,0.7142149966433593,0.39711746071897364,0.17356342039384734,-0.10145061655467004,14.0
AVGO,0.19488568225089375,0.11304118484828951,0.5063955129449722,0.5002509474666026,0.4416080280743812,-0.48299970584920804,1.042215988403819,Technology,1869253312512,65.15754,21.318502,0.37280998,0.38848,74.018,1.433,0.9761907257295311,-1.3001410971681988,0.23687516799158267,-0.8501683735164075,-0.14299293927857623,15.0
COST,0.008359601006652673,0.1497880691999547,0.007999263225755504,0.22605974928094086,0.23549598626817672,-0.3140242954280533,0.7900760952633002,Consumer Defensive,428218712064,48.693394,25.90241,0.29152,0.0301,60.257,0.868,-0.3095114318371374,-0.942492855992539,-0.5047560651221322,0.7043549877176067,-0.3137946622862876,16.0
HD,0.026254501108083028,-0.042301006186246326,-0.021234332526716138,0.09557458512133787,0.2787418593751541,-0.37993695543332384,0.199376531554742,Consumer Cyclical,326535774208,23.242016,23.532625,1.2838,0.08411,299.78869999999966,0.974,-0.831399029875547,0.0009159697864999372,-0.609980122501258,0.31266013117512026,-0.33915372090632956,17.0
META,-0.0242231538701132,-0.07139557507265881,-0.14234428290921108,0.17901566972086758,0.4358045600911963,-0.7378741109355779,0.3189862668985777,Communication Services,1440758366208,20.646782,5.9114914,0.32930002,0.32837,35.608,1.229,-1.26989973210153,0.8148935872513097,0.23418010764626496,-1.3084910979429212,-0.38039971549464957,18.0
MA,0.02809078771361362,-0.11629006006454456,-0.1132093183845444,0.08737355301589256,0.29454519706709226,-0.40997217675670705,0.16083627737817666,Financial Services,435598000128,28.496532,41.979866500000014,1.4600124050000007,0.45876,282.059,0.738,-1.1673819823833533,-0.9355258608834713,0.3613056415675769,0.34625525787525274,-0.424518597968929,19.0
TSLA,0.030245951728025355,-0.14863982297737177,0.229483783486071,0.508630726354528,0.5292170085988116,-0.736322174421912,0.7200020624928535,Consumer Cyclical,1488693755904,80.0822315000002,18.102024,0.096244,0.03946,18.738,1.798,-0.7551172960896507,-1.663121578328185,-0.465406028023033,-2.0403451616744,-1.1667361227495796,20.0
